eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.15,1.0,-3.0,0.3609312120825052,0.12533020807607612,0.19661692809313536,0.11575543605685458,0.0694434578763321,0.09829745037735065
0.15,0.8,-4.0,0.31846015714108944,0.09798158505799212,0.15084835223387927,0.11533156929443282,0.041507961228489876,0.09350088769695801
0.15,0.9,-4.0,0.2589542306959629,0.10743566011270028,0.1322912895702757,0.10967676207563334,0.026932154782116413,0.081371234042765
0.15,0.95,-4.0,0.26418608566746116,0.10817307019669435,0.12304980214685202,0.10865177737195993,0.022642127703875303,0.07914097899639738
0.15,1.0,-4.0,0.2525539565831423,0.1142238490087827,0.11733866389840841,0.10614683588668876,0.01721597369760275,0.07181868993470704
0.2,0.8,-1.5,0.8521548584103584,0.04316321697238735,0.5559670068323612,0.08291925188082522,0.41803573444485664,0.02673228799164489
0.2,0.9,-1.5,0.8502304032444954,0.039392116821724416,0.5309428833425045,0.06329183397963761,0.40088484436273575,0.037938612403869254
0.2,0.95,-1.5,0.8581608012318611,0.047263043662805586,0.5361822582781315,0.07137470722441168,0.3953709974884987,0.04423945110187439
0.2,1.0,-1.5,0.8452024385333061,0.03781413883719648,0.5253363102674484,0.06300578771031412,0.39550312235951424,0.03937934782314175
0.2,0.8,-2.0,0.7626489326357841,0.0908631280840271,0.41512081027030945,0.04342111189731917,0.31790889613330364,0.0490531137928243
0.2,0.9,-2.0,0.7602891996502876,0.06899194583505831,0.39341306686401367,0.04622066944718377,0.2806963697075844,0.0471601628124682
0.2,0.95,-2.0,0.7368041351437569,0.06977381300840818,0.3828882910311222,0.0490751324337839,0.2603173218667507,0.06065320693326346
0.2,1.0,-2.0,0.7016807496547699,0.08071314523751891,0.36807867884635925,0.05262861543957356,0.24994385242462158,0.05820546143549475
0.2,0.8,-2.5,0.6394049264490604,0.15438737252967114,0.33067334815859795,0.0694943758770458,0.18689579772762954,0.09533884322335844
0.2,0.9,-2.5,0.5592392534017563,0.14350473888470813,0.3042968846857548,0.08281885136253865,0.1690496732480824,0.09537278436203174
0.2,0.95,-2.5,0.5018327422440052,0.12224039346924305,0.28565799444913864,0.08256625149892377,0.15634903707541525,0.08844749147806287
0.2,1.0,-2.5,0.5330259911715984,0.16257108830671593,0.2735714092850685,0.08914679686254205,0.14625120209529996,0.0975193928256576
0.2,0.8,-3.0,0.49120488949120045,0.13980664434558926,0.2538525629788637,0.1009928007161486,0.12444001389667392,0.09888149459243831
0.2,0.9,-3.0,0.44562600553035736,0.134330475990987,0.22986077750101686,0.10352347776288537,0.09302197443321347,0.09224036975278589
0.2,0.95,-3.0,0.38738387264311314,0.11599286571095781,0.21021187747828662,0.11045980800628341,0.08933526222244836,0.09448374992927867
0.2,1.0,-3.0,0.3609312120825052,0.12533020807607612,0.19661692809313536,0.11575543605685458,0.0694434578763321,0.09829745037735065
0.2,0.8,-4.0,0.31846015714108944,0.09798158505799212,0.15084835223387927,0.11533156929443282,0.041507961228489876,0.09350088769695801
0.2,0.9,-4.0,0.2589542306959629,0.10743566011270028,0.1322912895702757,0.10967676207563334,0.026932154782116413,0.081371234042765
0.2,0.95,-4.0,0.26418608566746116,0.10817307019669435,0.12304980214685202,0.10865177737195993,0.022642127703875303,0.07914097899639738
0.2,1.0,-4.0,0.2525539565831423,0.1142238490087827,0.11733866389840841,0.10614683588668876,0.01721597369760275,0.07181868993470704
0.25,0.8,-1.5,0.8521548584103584,0.04316321697238735,0.5559670068323612,0.08291925188082522,0.41803573444485664,0.02673228799164489
0.25,0.9,-1.5,0.8502304032444954,0.039392116821724416,0.5309428833425045,0.06329183397963761,0.40088484436273575,0.037938612403869254
0.25,0.95,-1.5,0.8581608012318611,0.047263043662805586,0.5361822582781315,0.07137470722441168,0.3953709974884987,0.04423945110187439
0.25,1.0,-1.5,0.8452024385333061,0.03781413883719648,0.5253363102674484,0.06300578771031412,0.39550312235951424,0.03937934782314175
0.25,0.8,-2.0,0.7626489326357841,0.0908631280840271,0.41512081027030945,0.04342111189731917,0.31790889613330364,0.0490531137928243
0.25,0.9,-2.0,0.7602891996502876,0.06899194583505831,0.39341306686401367,0.04622066944718377,0.2806963697075844,0.0471601628124682
0.25,0.95,-2.0,0.7368041351437569,0.06977381300840818,0.3828882910311222,0.0490751324337839,0.2603173218667507,0.06065320693326346
0.25,1.0,-2.0,0.7016807496547699,0.08071314523751891,0.36807867884635925,0.05262861543957356,0.24994385242462158,0.05820546143549475
0.25,0.8,-2.5,0.6394049264490604,0.15438737252967114,0.33067334815859795,0.0694943758770458,0.18689579772762954,0.09533884322335844
0.25,0.9,-2.5,0.5592392534017563,0.14350473888470813,0.3042968846857548,0.08281885136253865,0.1690496732480824,0.09537278436203174
0.25,0.95,-2.5,0.5018327422440052,0.12224039346924305,0.28565799444913864,0.08256625149892377,0.15634903707541525,0.08844749147806287
0.25,1.0,-2.5,0.5330259911715984,0.16257108830671593,0.2735714092850685,0.08914679686254205,0.14625120209529996,0.0975193928256576
0.25,0.8,-3.0,0.49120488949120045,0.13980664434558926,0.2538525629788637,0.1009928007161486,0.12444001389667392,0.09888149459243831
0.25,0.9,-3.0,0.44562600553035736,0.134330475990987,0.22986077750101686,0.10352347776288537,0.09302197443321347,0.09224036975278589
0.25,0.95,-3.0,0.38738387264311314,0.11599286571095781,0.21021187747828662,0.11045980800628341,0.08933526222244836,0.09448374992927867
0.25,1.0,-3.0,0.3609312120825052,0.12533020807607612,0.19661692809313536,0.11575543605685458,0.0694434578763321,0.09829745037735065
0.25,0.8,-4.0,0.31846015714108944,0.09798158505799212,0.15084835223387927,0.11533156929443282,0.041507961228489876,0.09350088769695801
0.25,0.9,-4.0,0.2589542306959629,0.10743566011270028,0.1322912895702757,0.10967676207563334,0.026932154782116413,0.081371234042765
0.25,0.95,-4.0,0.26418608566746116,0.10817307019669435,0.12304980214685202,0.10865177737195993,0.022642127703875303,0.07914097899639738
0.25,1.0,-4.0,0.2525539565831423,0.1142238490087827,0.11733866389840841,0.10614683588668876,0.01721597369760275,0.07181868993470704
0.5,0.8,-1.5,0.8521548584103584,0.04316321697238735,0.5559670068323612,0.08291925188082522,0.41803573444485664,0.02673228799164489
0.5,0.9,-1.5,0.8502304032444954,0.039392116821724416,0.5309428833425045,0.06329183397963761,0.40088484436273575,0.037938612403869254
0.5,0.95,-1.5,0.8581608012318611,0.047263043662805586,0.5361822582781315,0.07137470722441168,0.3953709974884987,0.04423945110187439
0.5,1.0,-1.5,0.8452024385333061,0.03781413883719648,0.5253363102674484,0.06300578771031412,0.39550312235951424,0.03937934782314175
0.5,0.8,-2.0,0.7626489326357841,0.0908631280840271,0.41512081027030945,0.04342111189731917,0.31790889613330364,0.0490531137928243
0.5,0.9,-2.0,0.7602891996502876,0.06899194583505831,0.39341306686401367,0.04622066944718377,0.2806963697075844,0.0471601628124682
0.5,0.95,-2.0,0.7368041351437569,0.06977381300840818,0.3828882910311222,0.0490751324337839,0.2603173218667507,0.06065320693326346
0.5,1.0,-2.0,0.7016807496547699,0.08071314523751891,0.36807867884635925,0.05262861543957356,0.24994385242462158,0.05820546143549475
0.5,0.8,-2.5,0.6394049264490604,0.15438737252967114,0.33067334815859795,0.0694943758770458,0.18689579772762954,0.09533884322335844
0.5,0.9,-2.5,0.5592392534017563,0.14350473888470813,0.3042968846857548,0.08281885136253865,0.1690496732480824,0.09537278436203174
0.5,0.95,-2.5,0.5018327422440052,0.12224039346924305,0.28565799444913864,0.08256625149892377,0.15634903707541525,0.08844749147806287
0.5,1.0,-2.5,0.5330259911715984,0.16257108830671593,0.2735714092850685,0.08914679686254205,0.14625120209529996,0.0975193928256576
0.5,0.8,-3.0,0.49120488949120045,0.13980664434558926,0.2538525629788637,0.1009928007161486,0.12444001389667392,0.09888149459243831
0.5,0.9,-3.0,0.44562600553035736,0.134330475990987,0.22986077750101686,0.10352347776288537,0.09302197443321347,0.09224036975278589
0.5,0.95,-3.0,0.38738387264311314,0.11599286571095781,0.21021187747828662,0.11045980800628341,0.08933526222244836,0.09448374992927867
0.5,1.0,-3.0,0.3609312120825052,0.12533020807607612,0.19661692809313536,0.11575543605685458,0.0694434578763321,0.09829745037735065
0.5,0.8,-4.0,0.31846015714108944,0.09798158505799212,0.15084835223387927,0.11533156929443282,0.041507961228489876,0.09350088769695801
0.5,0.9,-4.0,0.2589542306959629,0.10743566011270028,0.1322912895702757,0.10967676207563334,0.026932154782116413,0.081371234042765
0.5,0.95,-4.0,0.26418608566746116,0.10817307019669435,0.12304980214685202,0.10865177737195993,0.022642127703875303,0.07914097899639738
0.5,1.0,-4.0,0.2525539565831423,0.1142238490087827,0.11733866389840841,0.10614683588668876,0.01721597369760275,0.07181868993470704
0.0,0.8,-1.5,0.86111930757761,0.03822115645842242,0.6592639833688736,0.06607406425675745,0.3880429342389107,0.061716530055025975
